X;Result
-10.0;1.0745781107721512E17
-9.5;3.7401605709928115E42
-9.0;-2.0268525487199387
-8.5;-2.963234847800119
-8.0;-46.52705910270245
-7.5;-6.628399417571681
-7.0;3.2372705380344742E13
-6.5;9.767223389548986E28
-6.0;106158.3366277931
-5.5;0.4261576741274857
-5.0;-10.860579049373099
-4.5;-21.926475029963058
-4.0;6.33319473802761E9
-3.5;1.1683203750628292E23
-3.0;1.1306773909962384E25
-2.5;-2.160330848491777
-2.0;-5.606679233133033
-1.5;-198.70864114027503
-1.0;367326.50287362747
-0.5;9.0264040065010749E18
0.0;NaN
0.5;-0.048633304574179796
1.0;NaN
1.5;0.009734633633955533
2.0;0.048633545188499036
2.5;0.11234646416763512
3.0;0.19363902385223547
3.5;0.2871217547747216
4.0;0.3890682801873828
4.5;0.4969019248533367
5.0;0.6088107019933602
5.5;0.723502726197696
6.0;0.84003751072694
6.5;0.9577217979107016
7.0;1.0760386739047179
7.5;1.194598516110921
8.0;1.3131056634723226
8.5;1.4313344596396202
9.0;1.5491121376919867
9.5;1.6663062187105415
10.0;1.782816268026921
